# Q = discharge (cfs) in Otter Creek at Rutland (id: 04282575) and Middlebury (id: 0428575) VT
id	YYYY	MM	DD	hh	mm	Q
04282000	2016	10	02	11	45	64.6
04282000	2016	10	02	12	00	63.6
04282000	2016	10	02	12	15	64.6
04282000	2016	10	02	12	30	64.6
04282000	2016	10	02	12	45	64.6
04282000	2016	10	02	13	00	64.6
04282000	2016	10	02	13	15	65.9
04282000	2016	10	02	13	30	65.9
04282000	2016	10	02	13	45	65.9
04282000	2016	10	02	14	00	65.9
04282000	2016	10	02	14	15	65.9
04282000	2016	10	02	14	30	65.9
04282000	2016	10	02	14	45	65.9
04282000	2016	10	02	15	00	65.9
04282000	2016	10	02	15	15	65.9
04282000	2016	10	02	15	30	65.9
04282000	2016	10	02	15	45	65.9
04282000	2016	10	02	16	00	65.9
04282000	2016	10	02	16	15	65.9
04282000	2016	10	02	16	30	67.1
04282000	2016	10	02	16	45	67.1
04282000	2016	10	02	17	00	65.9
04282000	2016	10	02	17	15	65.9
04282000	2016	10	02	17	30	65.9
04282000	2016	10	02	17	45	65.9
04282000	2016	10	02	18	00	65.9
04282000	2016	10	02	18	15	65.9
04282000	2016	10	02	18	30	65.9
04282000	2016	10	02	18	45	65.9
04282000	2016	10	02	19	00	65.9
04282000	2016	10	02	19	15	65.9
04282000	2016	10	02	19	30	65.9
04282000	2016	10	02	19	45	65.9
04282000	2016	10	02	20	00	65.9
04282000	2016	10	02	20	15	65.9
04282000	2016	10	02	20	30	65.9
04282000	2016	10	02	20	45	65.9
04282000	2016	10	02	21	00	65.9
04282000	2016	10	02	21	15	65.9
04282000	2016	10	02	21	30	65.9
04282000	2016	10	02	21	45	65.9
04282000	2016	10	02	22	00	65.9
04282000	2016	10	02	22	15	65.9
04282000	2016	10	02	22	30	65.9
04282000	2016	10	02	22	45	65.9
04282000	2016	10	02	23	00	65.9
04282000	2016	10	02	23	15	65.9
04282000	2016	10	02	23	30	65.9
04282000	2016	10	02	23	45	65.9
04282000	2016	10	03	00	00	65.9
04282000	2016	10	03	00	15	65.9
04282000	2016	10	03	00	30	65.9
04282000	2016	10	03	00	45	65.9
04282000	2016	10	03	01	00	65.9
04282000	2016	10	03	01	15	64.6
04282000	2016	10	03	01	30	65.9
04282000	2016	10	03	01	45	65.9
04282000	2016	10	03	02	00	65.9
04282000	2016	10	03	02	15	65.9
04282000	2016	10	03	02	30	65.9
04282000	2016	10	03	02	45	64.6
04282000	2016	10	03	03	00	64.6
04282000	2016	10	03	03	15	65.9
04282000	2016	10	03	03	30	64.6
04282000	2016	10	03	03	45	64.6
04282000	2016	10	03	04	00	64.6
04282000	2016	10	03	04	15	64.6
04282000	2016	10	03	04	30	64.6
04282000	2016	10	03	04	45	64.6
04282000	2016	10	03	05	00	64.6
04282000	2016	10	03	05	15	64.6
04282000	2016	10	03	05	30	64.6
04282000	2016	10	03	05	45	64.6
04282000	2016	10	03	06	00	64.6
04282000	2016	10	03	06	15	64.6
04282000	2016	10	03	06	30	64.6
04282000	2016	10	03	06	45	64.6
04282000	2016	10	03	07	00	64.6
04282000	2016	10	03	07	15	63.6
04282000	2016	10	03	07	30	64.6
04282000	2016	10	03	07	45	64.6
04282000	2016	10	03	08	00	63.6
04282000	2016	10	03	08	15	64.6
04282000	2016	10	03	08	30	64.6
04282000	2016	10	03	08	45	64.6
04282000	2016	10	03	09	00	64.6
04282000	2016	10	03	09	15	65.9
04282000	2016	10	03	09	30	65.9
04282000	2016	10	03	09	45	65.9
04282000	2016	10	03	10	00	65.9
04282000	2016	10	03	10	15	65.9
04282000	2016	10	03	10	30	65.9
04282000	2016	10	03	10	45	65.9
04282000	2016	10	03	11	00	65.9
04282000	2016	10	03	11	15	65.9
04282000	2016	10	03	11	30	64.6
04282000	2016	10	03	11	45	65.9
04282000	2016	10	03	12	00	65.9
04282000	2016	10	03	12	15	65.9
04282000	2016	10	03	12	30	65.9
04282000	2016	10	03	12	45	65.9
04282000	2016	10	03	13	00	64.6
04282000	2016	10	03	13	15	65.9
04282000	2016	10	03	13	30	65.9
04282000	2016	10	03	13	45	65.9
04282000	2016	10	03	14	00	65.9
04282000	2016	10	03	14	15	65.9
04282000	2016	10	03	14	30	65.9
04282000	2016	10	03	14	45	65.9
04282000	2016	10	03	15	00	65.9
04282000	2016	10	03	15	15	65.9
04282000	2016	10	03	15	30	64.6
04282000	2016	10	03	15	45	65.9
04282000	2016	10	03	16	00	65.9
04282000	2016	10	03	16	15	65.9
04282000	2016	10	03	16	30	65.9
04282000	2016	10	03	16	45	65.9
04282000	2016	10	03	17	00	65.9
04282000	2016	10	03	17	15	65.9
04282000	2016	10	03	17	30	64.6
04282000	2016	10	03	17	45	64.6
04282000	2016	10	03	18	00	64.6
04282000	2016	10	03	18	15	64.6
04282000	2016	10	03	18	30	65.9
04282000	2016	10	03	18	45	65.9
04282000	2016	10	03	19	00	65.9
04282000	2016	10	03	19	15	65.9
04282000	2016	10	03	19	30	67.1
04282000	2016	10	03	19	45	65.9
04282000	2016	10	03	20	00	65.9
04282000	2016	10	03	20	15	65.9
04282000	2016	10	03	20	30	67.1
04282000	2016	10	03	20	45	65.9
04282000	2016	10	03	21	00	65.9
04282000	2016	10	03	21	15	67.1
04282000	2016	10	03	21	30	67.1
04282000	2016	10	03	21	45	67.1
04282000	2016	10	03	22	00	67.1
04282000	2016	10	03	22	15	67.1
04282000	2016	10	03	22	30	67.1
04282000	2016	10	03	22	45	68.4
04282000	2016	10	03	23	00	68.4
04282000	2016	10	03	23	15	69.7
04282000	2016	10	03	23	30	69.7
04282000	2016	10	03	23	45	69.7
04282000	2016	10	04	00	00	71.0
04282000	2016	10	04	00	15	71.0
04282000	2016	10	04	00	30	72.3
04282000	2016	10	04	00	45	72.3
04282000	2016	10	04	01	00	72.3
04282000	2016	10	04	01	15	72.3
04282000	2016	10	04	01	30	72.3
04282000	2016	10	04	01	45	73.6
04282000	2016	10	04	02	00	75.1
04282000	2016	10	04	02	15	75.1
04282000	2016	10	04	02	30	76.7
04282000	2016	10	04	02	45	78.3
04282000	2016	10	04	03	00	78.3
04282000	2016	10	04	03	15	78.3
04282000	2016	10	04	03	30	78.3
04282000	2016	10	04	03	45	78.3
04282000	2016	10	04	04	00	76.7
04282000	2016	10	04	04	15	76.7
04282000	2016	10	04	04	30	76.7
04282000	2016	10	04	04	45	76.7
04282000	2016	10	04	05	00	75.1
04282000	2016	10	04	05	15	75.1
04282000	2016	10	04	05	30	75.1
04282000	2016	10	04	05	45	75.1
04282000	2016	10	04	06	00	75.1
04282000	2016	10	04	06	15	75.1
04282000	2016	10	04	06	30	75.1
04282000	2016	10	04	06	45	75.1
04282000	2016	10	04	07	00	75.1
04282000	2016	10	04	07	15	75.1
04282000	2016	10	04	07	30	75.1
04282000	2016	10	04	07	45	75.1
04282000	2016	10	04	08	00	76.7
04282000	2016	10	04	08	15	76.7
04282000	2016	10	04	08	30	75.1
04282000	2016	10	04	08	45	76.7
04282000	2016	10	04	09	00	78.3
04282000	2016	10	04	09	15	79.9
04282000	2016	10	04	09	30	81.5
04282000	2016	10	04	09	45	83.1
04282000	2016	10	04	10	00	86.5
04282000	2016	10	04	10	15	88.2
04282000	2016	10	04	10	30	91.7
04282000	2016	10	04	10	45	93.5
04282000	2016	10	04	11	00	95.3
04282000	2016	10	04	11	15	97.1
04282000	2016	10	04	11	30	98.9
04282000	2016	10	04	11	45	101
04282000	2016	10	04	12	00	103
04282000	2016	10	04	12	15	103
04282000	2016	10	04	12	30	103
04282000	2016	10	04	12	45	105
04282000	2016	10	04	13	00	105
04282000	2016	10	04	13	15	111
04282000	2016	10	04	13	30	123
04282000	2016	10	04	13	45	141
04282000	2016	10	04	14	00	154
04282000	2016	10	04	14	15	164
04282000	2016	10	04	14	30	177
04282000	2016	10	04	14	45	183
04282000	2016	10	04	15	00	188
04282000	2016	10	04	15	15	192
04282000	2016	10	04	15	30	197
04282000	2016	10	04	15	45	202
04282000	2016	10	04	16	00	204
04282000	2016	10	04	16	15	206
04282000	2016	10	04	16	30	209
04282000	2016	10	04	16	45	211
04282000	2016	10	04	17	00	211
04282000	2016	10	04	17	15	214
04282000	2016	10	04	17	30	216
04282000	2016	10	04	17	45	214
04282000	2016	10	04	18	00	216
04282000	2016	10	04	18	15	216
04282000	2016	10	04	18	30	216
04282000	2016	10	04	18	45	218
04282000	2016	10	04	19	00	218
04282000	2016	10	04	19	15	221
04282000	2016	10	04	19	30	221
04282000	2016	10	04	19	45	218
04282000	2016	10	04	20	00	221
04282000	2016	10	04	20	15	218
04282000	2016	10	04	20	30	221
04282000	2016	10	04	20	45	221
04282000	2016	10	04	21	00	226
04282000	2016	10	04	21	15	221
04282000	2016	10	04	21	30	223
04282000	2016	10	04	21	45	221
04282000	2016	10	04	22	00	223
04282000	2016	10	04	22	15	223
04282000	2016	10	04	22	30	223
04282000	2016	10	04	22	45	223
04282000	2016	10	04	23	00	223
04282000	2016	10	04	23	15	223
04282000	2016	10	04	23	30	223
04282000	2016	10	04	23	45	223
04282000	2016	10	05	00	00	223
04282000	2016	10	05	00	15	223
04282000	2016	10	05	00	30	223
04282000	2016	10	05	00	45	226
04282000	2016	10	05	01	00	223
04282000	2016	10	05	01	15	223
04282000	2016	10	05	01	30	223
04282000	2016	10	05	01	45	223
04282000	2016	10	05	02	00	223
04282000	2016	10	05	02	15	223
04282000	2016	10	05	02	30	223
04282000	2016	10	05	02	45	223
04282000	2016	10	05	03	00	223
04282000	2016	10	05	03	15	223
04282000	2016	10	05	03	30	221
04282000	2016	10	05	03	45	221
04282000	2016	10	05	04	00	221
04282000	2016	10	05	04	15	221
04282000	2016	10	05	04	30	223
04282000	2016	10	05	04	45	221
04282000	2016	10	05	05	00	221
04282000	2016	10	05	05	15	221
04282000	2016	10	05	05	30	221
04282000	2016	10	05	05	45	221
04282000	2016	10	05	06	00	221
04282000	2016	10	05	06	15	221
04282000	2016	10	05	06	30	218
04282000	2016	10	05	06	45	218
04282000	2016	10	05	07	00	221
04282000	2016	10	05	07	15	218
04282000	2016	10	05	07	30	218
04282000	2016	10	05	07	45	218
04282000	2016	10	05	08	00	218
04282000	2016	10	05	08	15	218
04282000	2016	10	05	08	30	218
04282000	2016	10	05	08	45	218
04282000	2016	10	05	09	00	221
04282000	2016	10	05	09	15	218
04282000	2016	10	05	09	30	221
04282000	2016	10	05	09	45	218
04282000	2016	10	05	10	00	218
04282000	2016	10	05	10	15	221
04282000	2016	10	05	10	30	218
04282000	2016	10	05	10	45	218
04282000	2016	10	05	11	00	218
04282000	2016	10	05	11	15	218
04282000	2016	10	05	11	30	218
04282000	2016	10	05	11	45	218
04282000	2016	10	05	12	00	218
04282000	2016	10	05	12	15	216
04282000	2016	10	05	12	30	218
04282000	2016	10	05	12	45	221
04282000	2016	10	05	13	00	218
04282000	2016	10	05	13	15	216
04282000	2016	10	05	13	30	221
04282000	2016	10	05	13	45	218
04282000	2016	10	05	14	00	218
04282000	2016	10	05	14	15	218
04282000	2016	10	05	14	30	216
04282000	2016	10	05	14	45	216
04282000	2016	10	05	15	00	218
04282000	2016	10	05	15	15	216
04282000	2016	10	05	15	30	216
04282000	2016	10	05	15	45	216
04282000	2016	10	05	16	00	216
04282000	2016	10	05	16	15	214
04282000	2016	10	05	16	30	216
04282000	2016	10	05	16	45	214
04282000	2016	10	05	17	00	214
04282000	2016	10	05	17	15	214
04282000	2016	10	05	17	30	214
04282000	2016	10	05	17	45	211
04282000	2016	10	05	18	00	211
04282000	2016	10	05	18	15	211
04282000	2016	10	05	18	30	211
04282000	2016	10	05	18	45	211
04282000	2016	10	05	19	00	211
04282000	2016	10	05	19	15	211
04282000	2016	10	05	19	30	209
04282000	2016	10	05	19	45	211
04282000	2016	10	05	20	00	209
04282000	2016	10	05	20	15	211
04282000	2016	10	05	20	30	211
04282000	2016	10	05	20	45	209
04282000	2016	10	05	21	00	209
04282000	2016	10	05	21	15	209
04282000	2016	10	05	21	30	209
04282000	2016	10	05	21	45	209
04282000	2016	10	05	22	00	209
04282000	2016	10	05	22	15	209
04282000	2016	10	05	22	30	209
04282000	2016	10	05	22	45	209
04282000	2016	10	05	23	00	209
04282000	2016	10	05	23	15	206
04282000	2016	10	05	23	30	206
04282000	2016	10	05	23	45	206
04282000	2016	10	06	00	00	206
04282000	2016	10	06	00	15	204
04282000	2016	10	06	00	30	199
04282000	2016	10	06	00	45	192
04282000	2016	10	06	01	00	186
04282000	2016	10	06	01	15	177
04282000	2016	10	06	01	30	168
04282000	2016	10	06	01	45	162
04282000	2016	10	06	02	00	158
04282000	2016	10	06	02	15	154
04282000	2016	10	06	02	30	154
04282000	2016	10	06	02	45	154
04282000	2016	10	06	03	00	154
04282000	2016	10	06	03	15	156
04282000	2016	10	06	03	30	158
04282000	2016	10	06	03	45	158
04282000	2016	10	06	04	00	158
04282000	2016	10	06	04	15	160
04282000	2016	10	06	04	30	160
04282000	2016	10	06	04	45	160
04282000	2016	10	06	05	00	160
04282000	2016	10	06	05	15	160
04282000	2016	10	06	05	30	162
04282000	2016	10	06	05	45	160
04282000	2016	10	06	06	00	160
04282000	2016	10	06	06	15	160
04282000	2016	10	06	06	30	160
04282000	2016	10	06	06	45	160
04282000	2016	10	06	07	00	160
04282000	2016	10	06	07	15	160
04282000	2016	10	06	07	30	160
04282000	2016	10	06	07	45	160
04282000	2016	10	06	08	00	160
04282000	2016	10	06	08	15	160
04282000	2016	10	06	08	30	160
04282000	2016	10	06	08	45	162
04282000	2016	10	06	09	00	160
04282000	2016	10	06	09	15	162
04282000	2016	10	06	09	30	162
04282000	2016	10	06	09	45	162
04282000	2016	10	06	10	00	162
04282000	2016	10	06	10	15	162
04282000	2016	10	06	10	30	160
04282000	2016	10	06	10	45	160
04282000	2016	10	06	11	00	160
04282000	2016	10	06	11	15	160
04282000	2016	10	06	11	30	162
04282000	2016	10	06	11	45	162
04282000	2016	10	06	12	00	162
04282000	2016	10	06	12	15	160
04282000	2016	10	06	12	30	160
04282000	2016	10	06	12	45	162
04282000	2016	10	06	13	00	160
04282000	2016	10	06	13	15	162
04282000	2016	10	06	13	30	160
04282000	2016	10	06	13	45	160
04282000	2016	10	06	14	00	160
04282000	2016	10	06	14	15	160
04282000	2016	10	06	14	30	160
04282000	2016	10	06	14	45	160
04282000	2016	10	06	15	00	160
04282000	2016	10	06	15	15	160
04282000	2016	10	06	15	30	158
04282000	2016	10	06	15	45	160
04282000	2016	10	06	16	00	160
04282000	2016	10	06	16	15	160
04282000	2016	10	06	16	30	160
04282000	2016	10	06	16	45	158
04282000	2016	10	06	17	00	158
04282000	2016	10	06	17	15	160
04282000	2016	10	06	17	30	158
04282000	2016	10	06	17	45	158
04282000	2016	10	06	18	00	158
04282000	2016	10	06	18	15	158
04282000	2016	10	06	18	30	156
04282000	2016	10	06	18	45	158
04282000	2016	10	06	19	00	158
04282000	2016	10	06	19	15	158
04282000	2016	10	06	19	30	156
04282000	2016	10	06	19	45	158
04282000	2016	10	06	20	00	158
04282000	2016	10	06	20	15	158
04282000	2016	10	06	20	30	158
04282000	2016	10	06	20	45	156
04282000	2016	10	06	21	00	158
04282000	2016	10	06	21	15	156
04282000	2016	10	06	21	30	156
04282000	2016	10	06	21	45	158
04282000	2016	10	06	22	00	156
04282000	2016	10	06	22	15	158
04282000	2016	10	06	22	30	156
04282000	2016	10	06	22	45	158
04282000	2016	10	06	23	00	156
04282000	2016	10	06	23	15	154
04282000	2016	10	06	23	30	156
04282000	2016	10	06	23	45	156
04282000	2016	10	07	00	00	154
04282000	2016	10	07	00	15	156
04282000	2016	10	07	00	30	156
04282000	2016	10	07	00	45	154
04282000	2016	10	07	01	00	154
04282000	2016	10	07	01	15	154
04282000	2016	10	07	01	30	154
04282000	2016	10	07	01	45	154
04282000	2016	10	07	02	00	154
04282000	2016	10	07	02	15	154
04282000	2016	10	07	02	30	152
04282000	2016	10	07	02	45	152
04282000	2016	10	07	03	00	152
04282000	2016	10	07	03	15	152
04282000	2016	10	07	03	30	152
04282000	2016	10	07	03	45	152
04282000	2016	10	07	04	00	152
04282000	2016	10	07	04	15	152
04282000	2016	10	07	04	30	150
04282000	2016	10	07	04	45	150
04282000	2016	10	07	05	00	150
04282000	2016	10	07	05	15	148
04282000	2016	10	07	05	30	146
04282000	2016	10	07	05	45	145
04282000	2016	10	07	06	00	143
04282000	2016	10	07	06	15	141
04282000	2016	10	07	06	30	136
04282000	2016	10	07	06	45	134
04282000	2016	10	07	07	00	129
04282000	2016	10	07	07	15	127
04282000	2016	10	07	07	30	125
04282000	2016	10	07	07	45	123
04282000	2016	10	07	08	00	121
04282000	2016	10	07	08	15	119
04282000	2016	10	07	08	30	117
04282000	2016	10	07	08	45	115
04282000	2016	10	07	09	00	115
04282000	2016	10	07	09	15	113
04282000	2016	10	07	09	30	111
04282000	2016	10	07	09	45	109
04282000	2016	10	07	10	00	111
04282000	2016	10	07	10	15	109
04282000	2016	10	07	10	30	105
04282000	2016	10	07	10	45	105
04282000	2016	10	07	11	00	103
04282000	2016	10	07	11	15	103
04282000	2016	10	07	11	30	101
04282000	2016	10	07	11	45	98.9
04282000	2016	10	07	12	00	98.9
04282000	2016	10	07	12	15	98.9
04282000	2016	10	07	12	30	97.1
04282000	2016	10	07	12	45	97.1
04282000	2016	10	07	13	00	95.3
04282000	2016	10	07	13	15	95.3
04282000	2016	10	07	13	30	93.5
04282000	2016	10	07	13	45	95.3
04282000	2016	10	07	14	00	93.5
04282000	2016	10	07	14	15	91.7
04282000	2016	10	07	14	30	91.7
04282000	2016	10	07	14	45	89.9
04282000	2016	10	07	15	00	91.7
04282000	2016	10	07	15	15	89.9
04282000	2016	10	07	15	30	89.9
04282000	2016	10	07	15	45	88.2
04282000	2016	10	07	16	00	88.2
04282000	2016	10	07	16	15	86.5
04282000	2016	10	07	16	30	86.5
04282000	2016	10	07	16	45	84.8
04282000	2016	10	07	17	00	83.1
04282000	2016	10	07	17	15	81.5
04282000	2016	10	07	17	30	81.5
04282000	2016	10	07	17	45	79.9
04282000	2016	10	07	18	00	78.3
04282000	2016	10	07	18	15	78.3
04282000	2016	10	07	18	30	76.7
04282000	2016	10	07	18	45	75.1
04282000	2016	10	07	19	00	75.1
04282000	2016	10	07	19	15	73.6
04282000	2016	10	07	19	30	73.6
04282000	2016	10	07	19	45	73.6
04282000	2016	10	07	20	00	73.6
04282000	2016	10	07	20	15	72.3
04282000	2016	10	07	20	30	72.3
04282000	2016	10	07	20	45	71.0
04282000	2016	10	07	21	00	71.0
04282000	2016	10	07	21	15	71.0
04282000	2016	10	07	21	30	71.0
04282000	2016	10	07	21	45	71.0
04282000	2016	10	07	22	00	69.7
04282000	2016	10	07	22	15	69.7
04282000	2016	10	07	22	30	68.4
04282000	2016	10	07	22	45	68.4
04282000	2016	10	07	23	00	69.7
04282000	2016	10	07	23	15	69.7
04282000	2016	10	07	23	30	68.4
04282000	2016	10	07	23	45	69.7
04282000	2016	10	08	00	00	68.4
04282000	2016	10	08	00	15	68.4
04282000	2016	10	08	00	30	68.4
04282000	2016	10	08	00	45	68.4
04282000	2016	10	08	01	00	68.4
04282000	2016	10	08	01	15	67.1
04282000	2016	10	08	01	30	67.1
04282000	2016	10	08	01	45	67.1
04282000	2016	10	08	02	00	67.1
04282000	2016	10	08	02	15	67.1
04282000	2016	10	08	02	30	67.1
04282000	2016	10	08	02	45	67.1
04282000	2016	10	08	03	00	67.1
04282000	2016	10	08	03	15	65.9
04282000	2016	10	08	03	30	67.1
04282000	2016	10	08	03	45	67.1
04282000	2016	10	08	04	00	67.1
04282000	2016	10	08	04	15	65.9
04282000	2016	10	08	04	30	67.1
04282000	2016	10	08	04	45	67.1
04282000	2016	10	08	05	00	65.9
04282000	2016	10	08	05	15	65.9
04282000	2016	10	08	05	30	65.9
04282000	2016	10	08	05	45	65.9
04282000	2016	10	08	06	00	65.9
04282000	2016	10	08	06	15	65.9
04282000	2016	10	08	06	30	65.9
04282000	2016	10	08	06	45	65.9
04282000	2016	10	08	07	00	64.6
04282000	2016	10	08	07	15	64.6
04282000	2016	10	08	07	30	64.6
04282000	2016	10	08	07	45	65.9
04282000	2016	10	08	08	00	65.9
04282000	2016	10	08	08	15	64.6
04282000	2016	10	08	08	30	64.6
04282000	2016	10	08	08	45	65.9
04282000	2016	10	08	09	00	64.6
04282000	2016	10	08	09	15	64.6
04282000	2016	10	08	09	30	64.6
04282000	2016	10	08	09	45	64.6
04282000	2016	10	08	10	00	64.6
04282000	2016	10	08	10	15	65.9
04282000	2016	10	08	10	30	65.9
04282000	2016	10	08	10	45	64.6
04282000	2016	10	08	11	00	65.9
04282000	2016	10	08	11	15	64.6
04282000	2016	10	08	11	30	64.6
04282000	2016	10	08	11	45	65.9
04282000	2016	10	08	12	00	64.6
04282000	2016	10	08	12	15	64.6
04282000	2016	10	08	12	30	65.9
04282000	2016	10	08	12	45	65.9
04282000	2016	10	08	13	00	65.9
04282000	2016	10	08	13	15	65.9
04282000	2016	10	08	13	30	65.9
04282000	2016	10	08	13	45	65.9
04282000	2016	10	08	14	00	65.9
04282000	2016	10	08	14	15	64.6
04282000	2016	10	08	14	30	65.9
04282000	2016	10	08	14	45	65.9
04282000	2016	10	08	15	00	65.9
04282000	2016	10	08	15	15	65.9
04282000	2016	10	08	15	30	64.6
04282000	2016	10	08	15	45	64.6
04282000	2016	10	08	16	00	64.6
04282000	2016	10	08	16	15	63.6
04282000	2016	10	08	16	30	64.6
